Well name,,Ground Elevation(masl),Datum Elevation(masl),Surveyed Stickup(m),Total Depth of Piezometer(mbgs),Bottom of Piezometer Elevation(masl),Depth Interval of Screen(mbgs),Elevation Interval of Screen(masl),Depth Interval of Sand(mbgs),Elevation Interval of Sand(masl),Time(hh:mm),Observed Depth to Groundwater(mbtoc),Observed Depth to Groundwater(mbgs),Depth to Product(mbtoc),Observed Product Thickness(m),Corrected Product Thickness(m),Corrected Depth to Groundwater(mbtoc),Corrected Depth to Groundwater(mbgs),Observed Groundwater Surface Elevation(masl),Corrected Groundwater Surface Elevation(masl),Depth to Bottom of Well(mbtoc),Measured Stick up(m),Easting(m),Northing(m)
,18-Oct-2016,,,,,,,,,,15:30,2.03,0.93,,N/A,N/A,2.03,0.93,949.56,949.56,N/M,N/M,,
,30-May-2017,,,,,,,,,,13:00,1.47,0.37,,N/A,N/A,1.47,0.37,950.12,950.12,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,14:35,2.02,0.92,,N/A,N/A,2.02,0.92,949.57,949.57,5.30,N/M,,
,15-May-2018,,,,,,,,,,15:10,3.18,2.08,,N/A,N/A,3.18,2.08,948.41,948.41,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,13:55,2.17,1.07,,N/A,N/A,2.17,1.07,949.42,949.42,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
05-51,07-Jun-2016,949.90,951.18,1.28,6.00,943.90,5.00 - 6.00,944.90 - 943.90,N/A,N/A,13:32,3.27,1.99,,N/A,N/A,3.27,1.99,947.91,947.91,5.64,N/M,645603.621,5867641.675
,18-Oct-2016,,,,,,,,,,14:10,2.47,1.19,,N/A,N/A,2.47,1.19,948.71,948.71,N/M,N/M,,
,30-May-2017,,,,,,,,,,11:10,2.12,0.84,,N/A,N/A,2.12,0.84,949.06,949.06,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,14:10,2.39,1.11,,N/A,N/A,2.39,1.11,948.79,948.79,N/M,N/M,,
,15-May-2018,,,,,,,,,,14:25,3.48,2.20,,N/A,N/A,3.48,2.20,947.70,947.70,5.65,N/M,,
,10-Oct-2018,,,,,,,,,,13:10,2.77,1.49,,N/A,N/A,2.77,1.49,948.41,948.41,N/M,N/M,,
,12-Oct-2018,,,,,,,,,,---,3.50,2.22,,N/A,N/A,3.50,2.22,947.68,947.68,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
05-52,07-Jun-2016,949.90,951.18,1.28,4.40,945.50,1.40 - 4.40,948.50 - 945.50,N/A,N/A,13:35,2.25,0.97,,N/A,N/A,2.25,0.97,948.93,948.93,4.86,N/M,645602.803,5867642.593
,18-Oct-2016,,,,,,,,,,14:12,1.64,0.36,,N/A,N/A,1.64,0.36,949.54,949.54,N/M,N/M,,
